FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.7cb7db4f-2409-3cd8-93b9-1b98ead54565,-59.258,-9.531,2019-09-19T17:40:00,AQUA_M-T,COLNIZA,MATO GROSSO,Brasil,POINT (-9.531 -59.258)
focos_ams_ontem_hoje_ref.7cd0ca25-1325-388e-a053-45d924c009a0,-62.907,-29.794,2019-09-20T18:15:00,AQUA_M-T,Quebrachos,Santiago del Estero,Argentina,POINT (-29.794 -62.907)
focos_ams_ontem_hoje_ref.7cd45584-7887-3bc3-bab3-d5a459598957,-72.778,-11.059,2019-09-20T18:20:00,AQUA_M-T,Atalaya,Ucayali,Peru,POINT (-11.059 -72.778)
focos_ams_ontem_hoje_ref.7ce3db63-467a-37bc-9f29-923fbf38a48f,-42.521,-8.18,2019-09-20T16:45:00,AQUA_M-T,RIBEIRA DO PIAUÍ,PIAUÍ,Brasil,POINT (-8.18 -42.521)
focos_ams_ontem_hoje_ref.7ce4b607-7c87-3bbe-aa85-98346288e966,-41.745,-3.69,2019-09-19T16:00:00,AQUA_M-T,PIRACURUCA,PIAUÍ,Brasil,POINT (-3.69 -41.745)
focos_ams_ontem_hoje_ref.7cf4ef81-b702-393c-8f43-34f77fc85520,-57.225,-12.606,2019-09-19T17:40:00,AQUA_M-T,NOVA MARINGÁ,MATO GROSSO,Brasil,POINT (-12.606 -57.225)
focos_ams_ontem_hoje_ref.7cf8afb7-b74f-38c1-aee1-b0e171dd08f5,-55.07,-11.356,2019-09-19T17:40:00,AQUA_M-T,CLÁUDIA,MATO GROSSO,Brasil,POINT (-11.356 -55.07)
focos_ams_ontem_hoje_ref.7d00e7ae-866b-350a-a7a7-9dd7c35b163f,-42.253,-12.263,2019-09-19T16:00:00,AQUA_M-T,BROTAS DE MACAÚBAS,BAHIA,Brasil,POINT (-12.263 -42.253)
focos_ams_ontem_hoje_ref.7d0c2d90-1124-3325-ba6a-b98031080f86,-69.143,-12.243,2019-09-20T18:20:00,AQUA_M-T,Tambopata,Madre de Dios,Peru,POINT (-12.243 -69.143)
focos_ams_ontem_hoje_ref.7d17dbe4-9012-39bb-b4a8-d2f700f74750,-38.396,-4.853,2019-09-20T16:45:00,AQUA_M-T,RUSSAS,CEARÁ,Brasil,POINT (-4.853 -38.396)
