FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_hoje_ref.1188b698-7e50-359a-8708-b1ea2537e5f6,-48.027,-15.125,2019-09-20T16:40:00,AQUA_M-T,ÁGUA FRIA DE GOIÁS,GOIÁS,Brasil,POINT (-15.125 -48.027)
focos_ams_hoje_ref.11bf7fa7-8943-36c8-bd03-b1f3ea95f028,-48.876,-5.535,2019-09-20T16:45:00,AQUA_M-T,SÃO DOMINGOS DO ARAGUAIA,PARÁ,Brasil,POINT (-5.535 -48.876)
focos_ams_hoje_ref.11d2aa06-b33d-3619-bf6c-bd8c8145a215,-55.426,-8.178,2019-09-20T16:45:00,AQUA_M-T,NOVO PROGRESSO,PARÁ,Brasil,POINT (-8.178 -55.426)
focos_ams_hoje_ref.11da8133-f1e5-3dd1-9bc4-77665624a246,-44.89,-5.756,2019-09-20T16:45:00,AQUA_M-T,TUNTUM,MARANHÃO,Brasil,POINT (-5.756 -44.89)
focos_ams_hoje_ref.121d9c99-4637-33b7-978a-5293e1a804f4,-67.679,-14.323,2019-09-20T18:20:00,AQUA_M-T,Abel Iturralde,La Paz,Bolivia,POINT (-14.323 -67.679)
focos_ams_hoje_ref.12330ff2-6807-331f-9425-e30a8b27feba,-69.053,-13.923,2019-09-20T18:20:00,AQUA_M-T,Sandia,Puno,Peru,POINT (-13.923 -69.053)
focos_ams_hoje_ref.123ed480-9e6b-3546-baea-d7be449e046e,-60.36,-12.278,2019-09-20T18:20:00,AQUA_M-T,VILHENA,RONDÔNIA,Brasil,POINT (-12.278 -60.36)
focos_ams_hoje_ref.125efb3f-0ab7-33fe-934c-9d5b2409ae9d,-68.857,-10.563,2019-09-20T18:20:00,AQUA_M-T,XAPURI,ACRE,Brasil,POINT (-10.563 -68.857)
focos_ams_hoje_ref.12684713-0e32-3a23-85a2-30a1a2be282b,-58.794,-27.7,2019-09-20T18:15:00,AQUA_M-T,Empedrado,Corrientes,Argentina,POINT (-27.7 -58.794)
focos_ams_hoje_ref.1276bb99-3009-37e1-8044-34877462d1ff,-43.427,-5.387,2019-09-20T16:45:00,AQUA_M-T,MATÕES,MARANHÃO,Brasil,POINT (-5.387 -43.427)
focos_ams_hoje_ref.128a3378-4fc8-3b82-a3c7-b720cc8df854,-43.353,-22.411,2019-09-20T16:40:00,AQUA_M-T,PATY DO ALFERES,RIO DE JANEIRO,Brasil,POINT (-22.411 -43.353)
focos_ams_hoje_ref.1298d75c-28d2-35e6-a509-f4a4012f0ab4,-42.225,-21.455,2019-09-20T16:40:00,AQUA_M-T,MIRACEMA,RIO DE JANEIRO,Brasil,POINT (-21.455 -42.225)
focos_ams_hoje_ref.129d9c33-a945-3070-8394-9f30f7c19f89,-40.428,-20.037,2019-09-20T16:40:00,AQUA_M-T,SANTA LEOPOLDINA,ESPÍRITO SANTO,Brasil,POINT (-20.037 -40.428)
