DOY,2012,2013,2014,2015,2016,2017,2018,2019
125,13702,20821,27316,34485,86176,15352,35615,71658
126,14201,21005,27591,34552,86683,15819,35785,72001
127,14630,21111,27953,34626,87027,16196,36058,72340
128,15082,21293,28264,34672,87451,16498,36467,72652
129,15748,21548,28472,34723,87669,16952,36849,73060
130,16320,21698,28731,34795,87983,17437,37194,73478
131,17005,21910,28893,34870,88463,17866,37584,73880
132,17644,22110,29049,34957,88833,18055,37842,74100
133,18246,22339,29271,35073,89241,18374,37952,74305
134,18482,22624,29554,35296,89508,18690,38147,74547
135,18625,22984,29937,35437,89848,19003,38396,74776
136,18738,23405,30312,35685,90172,19328,38576,75018
137,18899,23785,30644,35912,90432,19639,38839,75300
138,19226,24318,30830,36071,90842,19892,39143,75581
139,19389,24783,31074,36315,91159,20169,39413,75828
140,19585,25235,31276,36534,91557,20356,39531,76216
141,19736,25844,31535,36829,92061,20492,39683,76692
142,19885,26347,31899,37146,92499,20676,40024,77319
143,20089,26635,32178,37367,92847,21022,40505,77872
144,20506,27122,32394,37598,93230,21368,40994,78172
145,20871,27596,32527,37921,93968,21909,41894,78477
146,21130,27836,32596,38427,94463,22430,42641,78932
147,21358,28018,32819,38893,94929,22850,43145,79407
148,21682,28316,33308,39228,95375,23119,43748,80120
149,21931,28727,33820,39538,95765,23330,44432,81098
150,22590,29253,34317,39898,96075,23672,45145,81855
151,23346,29528,34910,40334,96423,24093,45819,82661
152,24099,29996,35344,40877,96800,24542,46538,83305
153,25006,30345,35646,41470,97207,24908,47300,83706
154,25973,30558,36357,42016,97772,25162,47693,84091
155,26604,30855,37152,42647,98262,25470,48198,84627
156,26810,31229,38045,43299,99027,25824,48867,85404
157,27237,31524,38883,43909,99624,26514,49343,86565
158,27591,31741,39845,44300,99909,27401,49788,87283
159,28277,32077,40519,44542,100341,28285,50459,88190
160,29068,32593,41274,45026,100711,29184,51143,88960
161,30242,33147,42281,45620,101066,29859,51638,89699
162,31169,33837,43419,46356,101459,30437,52071,90733
163,31792,34541,43931,47089,101898,30837,52758,91755
164,32921,35513,44935,48007,102324,31611,53587,92746
165,34138,36365,46256,48721,102662,32318,54415,93732
166,34724,37209,47147,49260,103456,33233,55092,95036
167,35854,37832,48033,50156,104618,34263,55829,96092
168,36960,38357,48854,51271,105570,35448,56419,97187
169,37788,38934,49340,52291,106505,36284,57043,98090
170,38653,39706,50010,53042,107297,36927,57901,98759
171,39560,40534,50895,54045,108057,37716,58864,99860
172,40322,41562,52235,54827,108797,38784,60012,101345
173,40805,42604,53205,55616,109879,39919,61026,102715
174,41140,43366,54140,56731,110830,41067,62186,103954
175,41958,44065,55085,58053,111702,42048,63107,104987
176,42750,45057,56522,59143,112770,42713,64013,106409
177,43548,46130,57767,60465,114157,43506,65245,107446
178,44616,47325,59175,61646,115259,44523,66519,108931
179,46120,48413,60032,62440,116267,45525,67746,110373
180,47698,49449,60728,63387,117402,46477,69005,111976
181,49001,50134,61661,64145,118838,47221,70132,113206
182,50964,50745,62848,65081,120627,48264,71196,114209
183,52458,51551,64178,66450,122349,49194,72084,115403
184,53581,52335,65613,67510,123822,50085,73215,116536
185,55007,53299,67173,68429,125189,51394,74410,117722
186,56492,54309,68858,68962,126317,52777,75641,118581
187,57200,55347,70163,69159,127667,54215,76797,119438
188,58119,56247,71588,69416,128806,55853,77912,120480
189,59605,57341,73274,69914,130043,57451,78905,121518
190,60597,58555,74583,70716,131335,59019,79959,122757
191,61842,59786,76047,72107,133047,60421,81157,124481
192,63025,61238,77629,73257,134369,61861,82434,126175
193,64482,62695,79278,74480,135876,63671,83727,127815
194,65802,64280,80373,75547,137583,65882,85221,129446
195,67337,65648,81873,76851,139346,67955,86459,130905
196,68770,66873,83836,78776,141629,70109,87593,132406
197,69775,68129,85393,80461,144182,72024,88707,133783
198,70969,69278,86513,81733,146716,73993,90138,135339
199,72563,70866,87480,82950,149242,76325,91600,136840
200,73923,72537,88338,84564,151000,78328,93138,138445
201,75289,73472,89229,86222,153032,80617,94645,140194
202,76770,74322,90404,87665,154815,82558,96658,141776
203,78445,75054,92035,88969,156865,84333,98463,143542
204,80242,76068,93988,90152,159430,86097,100499,145456
205,82473,77256,95297,91326,162664,88207,103208,148039
206,84858,78454,96352,92562,166406,91044,106165,150764
207,87577,79648,97691,94041,170171,94741,109001,154444
208,89660,80794,99411,95521,173815,99101,111485,158362
209,92713,81748,100885,97024,177871,103803,113991,161924
210,95660,83077,102397,99185,182191,108210,115721,165163
211,99431,84762,104503,101920,186368,112234,117191,168566
212,102938,86569,106567,105010,192025,116174,118371,172987
213,107950,88338,108731,108099,198991,120275,119831,178923
214,112550,90435,111075,110954,205245,124640,121453,184871
215,117399,92643,113685,113644,212189,130168,123263,192667
216,121522,95133,115522,116693,219226,135760,125251,202354
217,125912,97112,118273,120121,225233,140860,127145,210941
218,131181,99411,121916,124043,231965,145305,129293,216232
219,135908,101609,124969,127341,239486,149696,131889,223174
220,140157,103878,125565,130908,245668,154694,134886,230334
221,145264,106311,128657,135442,252086,159805,138231,238949
222,150770,108603,132729,140305,258800,163771,140353,249246
223,156446,110839,136929,145466,265247,167137,142965,261293
224,161494,112708,141961,150825,270840,170515,145649,275111
225,168276,114215,147863,158960,275940,175312,148417,290303
226,176353,116345,155505,168124,279898,179764,151456,306904
227,185149,119090,165146,176613,285849,185041,152584,321094
228,192501,121623,177557,185900,291650,189807,153399,332443
229,202573,124603,188219,195252,297666,193683,154627,343434
230,213367,127018,199105,205308,304118,198300,156487,353127
231,223209,129178,213693,218008,309595,206031,159245,361798
232,234215,132175,230195,229233,314741,212525,161002,368561
233,245618,135153,243701,237641,319897,215576,163249,374810
234,260012,138168,253656,246481,325105,219329,166762,381032
235,273762,141739,263006,255379,332914,225208,171977,388469
236,284564,146453,272495,262329,342460,233829,178737,395450
237,297167,150686,272495,268431,353025,244076,184038,400535
238,313506,154412,281059,274106,362157,256299,187078,407163
239,329870,158732,287921,278920,371451,266970,191491,414014
240,341868,165260,293272,282922,381240,280686,197503,422684
241,352243,172024,297800,288226,388666,291754,203400,
242,361854,177411,302258,295204,396104,302817,211563,
243,371498,183701,306199,301480,402472,314802,221396,
244,381331,188979,310027,306450,407517,324575,231817,
245,389968,193184,316234,314736,413225,335412,241425,
246,398298,196167,323853,323573,420347,352396,248335,
247,406462,198179,330028,331148,426807,373842,260509,
248,417953,201009,335612,337048,432360,395215,275127,
249,437108,202757,338595,342072,440271,415929,286726,
250,456674,203845,343545,347062,450084,433332,298103,
251,473269,205611,350051,355868,461981,445081,309348,
252,489735,207487,359093,369583,473911,458395,321443,
253,509341,211434,370026,387020,489496,475251,330078,
254,530023,217233,382548,404042,503864,490195,337566,
255,546737,221282,395168,417996,522988,509867,344741,
256,561358,226672,406168,427130,541854,529539,350085,
257,575893,237288,415962,431479,554965,550381,355708,
258,586807,247171,423952,438927,564141,570978,360072,
259,596807,254247,430589,450995,570567,595265,363355,
260,608033,261808,436827,465393,574836,621431,366480,
261,620457,264498,442908,483526,580349,642786,371398,
262,630354,270186,450104,502871,584919,664048,375439,
263,641309,277963,457874,520340,588427,684312,379049,
264,650337,287248,462696,533192,591710,695561,383388,
265,660315,297006,468184,542306,596263,704087,389147,
266,666334,305179,473942,553725,601182,715280,394031,
267,668201,312739,478614,565792,603161,727457,398845,
268,672705,321010,483779,580801,605008,740314,403672,
269,676687,329456,485230,592875,606819,750471,408645,
270,681530,336873,494575,602319,609233,756825,412329,
271,691520,342247,501627,607704,612058,761930,416715,
272,701327,348162,508022,612205,616279,763463,421240,
273,706985,353738,514287,618241,620153,770771,424728,
274,712732,358175,520971,626653,623243,777993,427230,
275,720920,364006,525775,638305,625607,786621,430424,
276,729811,370652,527636,650179,627464,792201,434498,
277,741180,375750,529658,660727,631760,797929,437613,
