DOY,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
307,327796,407658,439589,257420,447818,195601,120053,379326,122142,226283,121895,179311,224684,206081,246073,140292,
308,328374,408561,440555,257924,449546,196680,121008,380010,122360,227288,122131,179730,224962,206979,247127,141035,
309,329106,410531,442008,259623,449930,198279,121138,382484,122735,227851,122196,180291,226283,207606,248390,141190,
310,329884,411531,443266,261221,451763,199018,122266,382696,123025,229346,122327,180942,226929,210029,250086,141583,
311,331083,413974,446666,262778,452339,199806,123395,384759,123240,230377,122592,182293,227775,210476,250353,141772,
312,332121,415223,447264,264940,454975,200176,124009,385266,123971,230788,123229,182759,229425,211293,251146,142159,
313,332794,415857,449564,265419,456455,201181,125652,386413,124488,231910,123718,183610,229810,211696,251605,142726,
314,333290,417589,450291,266025,457168,202033,126109,386867,124717,232121,124146,183818,231696,212045,253389,142977,
315,334987,418500,450985,266252,458133,202625,128678,387659,124877,233471,125014,184778,232447,212703,254044,144102,
316,336372,420745,452080,266994,458313,203252,129630,388589,125679,233683,125222,185822,234418,213142,255001,144641,
317,338471,421312,452519,268065,459890,204251,130670,388789,126093,234865,125963,186169,235679,214627,256566,146314,
318,339388,425163,453440,268796,460255,205270,131145,388861,126470,235364,126268,187081,237360,214907,257097,147200,
319,341927,426000,453809,269790,462644,205737,132292,389027,126617,235739,126959,187335,238981,215753,258631,147610,
320,343957,427129,454601,270724,463968,207187,133999,389467,127028,236176,127224,188436,240263,216307,258963,148248,
321,344427,427789,455367,272310,466518,207298,134775,389878,128321,236617,127594,188599,242844,217026,260749,148981,
322,346455,429489,457804,273185,467981,208483,135771,390157,128784,237953,127898,189750,244048,217613,261315,150872,
323,346649,432724,459222,274020,468561,208553,136438,390787,129739,238371,128480,190022,246189,218116,261775,151206,
324,348567,433638,461064,274174,470869,210134,137827,391145,130199,239977,129102,190392,246696,218883,262758,153002,
325,348887,437698,463391,274545,471404,210993,138709,391272,131235,240643,129250,190763,248156,219135,263380,153328,
326,350201,438564,463803,274762,472583,211700,141047,391391,132658,241403,130122,191097,249727,219463,264924,153958,
327,350645,442361,465551,274995,473165,214173,143011,392309,133108,242421,130245,191706,251336,219586,265411,154411,
328,350992,443652,465953,275543,474083,214533,143929,392507,134543,243398,130732,191941,253429,220625,266319,154581,
329,351750,445555,467430,275913,475104,214906,145742,394080,134869,244640,131192,194146,254096,220922,266562,155035,
330,352455,447674,467959,277209,475433,215253,146109,394782,135272,244828,131746,194695,256924,221832,267779,155106,
331,355253,448047,468146,277461,475710,216972,148828,395344,135565,246562,131969,195874,257475,222965,268574,155190,
332,355778,449797,468516,280247,475882,217525,149968,395746,136238,247029,132089,196357,259719,223463,269567,155198,
333,358102,450317,468940,281092,476471,218060,152633,395939,136791,248419,132349,196728,260864,225206,270639,155256,
334,359251,452912,470394,282957,476591,220111,154152,397477,137322,248736,132450,198085,263214,225841,270977,155265,
335,360191,453685,470817,283811,476675,220696,154741,397722,137539,248782,133152,198581,269020,227402,271969,155295,
336,362058,455411,472135,284717,476688,222319,155935,399180,137711,248926,133312,199990,272823,227629,272599,155338,
337,362567,456943,472260,286224,477107,222398,156390,399676,138297,249056,134208,200325,276227,228243,275121,155375,
338,364438,458122,473247,286434,477217,222454,158741,400504,138482,249305,135185,201176,276594,228794,276638,155391,
339,364952,459964,473494,287788,477337,222705,159112,400819,139709,249442,136024,201439,277671,229202,279753,155421,
340,366807,460934,474048,288255,477636,223495,159636,401073,140182,250508,137315,201811,277967,230143,281421,155438,
341,367568,463674,474214,290474,477812,223974,159764,401494,140815,250719,137635,202157,278685,230497,281822,155483,
342,368913,464176,474396,291028,477981,224700,160239,401979,141335,251389,138803,202372,279806,231768,282775,155605,
343,370233,466405,474439,291397,478096,225099,160453,402451,141589,251957,139112,202971,280978,232046,283194,155681,
344,370859,467479,474569,291685,478501,225466,160795,402643,142634,252308,139789,203154,282380,233051,284309,155751,
345,372633,468322,475061,291824,478679,226850,161099,403432,142856,253080,140181,204142,282847,233432,284499,155851,
346,372968,469518,475224,292061,479095,226956,161149,404074,143858,253313,140546,204230,284357,233908,285860,155941,
347,373459,470443,476466,292170,479343,227681,161624,404204,144255,254136,141018,204711,285096,234319,286155,156095,
348,373717,472976,477261,292581,479445,227832,161763,404471,144625,254280,141288,205002,286651,234513,286255,156220,
349,374119,473795,477645,292690,479961,228380,162116,404676,145064,255195,141940,205278,287732,234687,286338,156416,
350,374575,475490,478599,292807,480121,228689,162152,404745,145480,255323,142009,205996,288582,234727,286463,156624,
351,374862,476294,478908,293015,480423,228787,162549,405021,146263,255401,142902,206207,289801,234815,286546,156787,
352,375504,477545,479793,293238,480616,229217,162850,405174,146390,255451,143010,206862,290110,234829,286631,157025,
353,375748,478119,479884,293397,481772,229314,163145,405329,147003,255676,143078,207022,291108,234841,286669,157233,
354,376381,478478,480209,293579,482035,229577,163599,405710,147248,256246,143117,207793,291414,234870,286763,157494,
355,376758,479447,480364,294250,482781,229713,163622,405846,147781,256395,143251,207991,291603,234896,286884,157670,
356,377194,479725,480509,294393,483565,229817,163802,406053,148176,256849,143271,208491,291750,234926,287193,157952,
357,377552,480483,480641,294807,483747,229849,163907,406299,148334,257049,143342,208737,292127,234996,287316,158040,
358,378048,480708,480703,294990,483935,229994,164199,406415,148499,257287,143519,208801,292503,235090,287370,158094,
359,378541,480961,480790,295098,483984,230219,164536,406494,148578,257369,143541,208959,292916,235129,287396,158298,
360,378741,481004,480882,295362,484262,230261,164827,406657,148892,257423,143717,209039,293537,235183,287465,158438,
361,379215,481144,480979,295528,484434,230269,165343,406882,148986,257483,143791,209772,293875,235259,287487,159142,
362,379287,481191,481071,295710,484498,230299,165438,406957,149309,257591,143945,210193,295104,235621,287810,159466,
363,379390,481243,481072,295837,484544,230575,165552,407166,149611,257724,144078,210549,295668,235714,287880,159600,
364,379537,481627,481100,296101,484585,230650,165670,407242,150070,257813,144174,211174,297442,235848,288120,159680,
365,379851,481808,481135,296263,484639,230781,165710,407283,150291,257999,144558,211365,297910,236126,288181,159779,
